,total_docs,dups,zero_vals,vocab_raw,vocab_proc,min_doc_len,max_doc_len,mean_len,std
climate,2685,0,0,13438,8708,85,6550,637,490
eu,921,0,0,8408,5836,67,2510,349,308
spam,4889,25,1,8633,5828,0,356,34,27
newsgroups,10612,0,0,91637,51235,74,9891,731,841
reuters,9112,8,0,30103,21461,59,5532,505,496
bbc,2112,1,0,29342,21603,283,8814,1250,665
science,5733,0,0,42109,29904,109,2586,897,292
climate_science_merged,5370,0,0,34560,24270,85,6550,767,425
climate_bbc_merged,4224,1,0,34305,25090,85,8814,942,654
climate_science,5370,0,0,34684,24384,85,6550,768,423
