,climate,spam,newsgroups,reuters,bbc,science
agreement,5.0,,,,,
albania,2.0,,,,,
analysis,,,,,,2612.0
article,,,7247.0,,,
billion,,,,5651.0,,
cell,,,,,,5221.0
come,,291.0,,,1140.0,
company,,,,5456.0,,
control,,,,,,2988.0
ct,,,,5599.0,,
day,,218.0,,,,
dlrs,,,,9961.0,,
effort,2.0,,,,,
expression,,,,,,3588.0
force,2.0,,,,,
free,,220.0,,,,
game,,,,,1384.0,
gene,,,,,,3103.0
get,,292.0,,,,
go,,248.0,,,,
good,,276.0,5700.0,,1725.0,
high,,,,,,3043.0
increase,2.0,,,,,
know,,260.0,5681.0,,,
limit,2.0,,,,,
line,,,10727.0,,,
mln,,,,16989.0,,
ndc,2.0,,,,,
net,,,,5576.0,,
new,,,,,1867.0,
organization,,,10619.0,,,
paris,5.0,,,,,
patient,,,,,,2773.0
pct,,,,9467.0,,
people,,,5425.0,,1860.0,
policy,4.0,,,,,
result,,,,,,4044.0
say,,,,25829.0,7823.0,
send,,230.0,,,,
share,,,,5675.0,,
study,,,,,,4958.0
subject,,,11303.0,,,
system,,,,,,2615.0
think,,,5196.0,,,
time,,223.0,,,1472.0,
university,,,5087.0,,,
url,3.0,,,,,
want,,233.0,,,,
win,,,,,1417.0,
world,,,,,1171.0,
write,,,9392.0,,,
year,,,,7994.0,2832.0,
