,climate,eu,spam,newsgroups,reuters,bbc,science
analysis,,,,,,,2612.0
article,,,,7247.0,,,
billion,,,,,5651.0,,
building,1388.0,307.0,,,,,
cell,,,,,,,5221.0
come,,,291.0,,,1140.0,
company,,,,,5456.0,,
control,,,,,,,2988.0
ct,,,,,5599.0,,
day,,,218.0,,,,
dlrs,,,,,9961.0,,
efficiency,1989.0,353.0,,,,,
electricity,1455.0,,,,,,
emission,2320.0,382.0,,,,,
energy,8989.0,1196.0,,,,,
expression,,,,,,,3588.0
free,,,220.0,,,,
game,,,,,,1384.0,
gas,,262.0,,,,,
gene,,,,,,,3103.0
get,,,292.0,,,,
go,,,248.0,,,,
good,,,276.0,5700.0,,1725.0,
government,1580.0,,,,,,
high,,,,,,,3043.0
include,1471.0,,,,,,
know,,,260.0,5681.0,,,
line,,,,10727.0,,,
measure,,478.0,,,,,
mln,,,,,16989.0,,
net,,,,,5576.0,,
new,1786.0,,,,,1867.0,
organization,,,,10619.0,,,
patient,,,,,,,2773.0
pct,,,,,9467.0,,
people,,,,5425.0,,1860.0,
programme,1504.0,,,,,,
renewable,1873.0,,,,,,
result,,,,,,,4044.0
say,,,,,25829.0,7823.0,
send,,,230.0,,,,
share,,,,,5675.0,,
study,,,,,,,4958.0
subject,,,,11303.0,,,
support,,251.0,,,,,
system,,,,,,,2615.0
think,,,,5196.0,,,
time,,,223.0,,,1472.0,
transport,,284.0,,,,,
university,,,,5087.0,,,
use,,282.0,,,,,
want,,,233.0,,,,
waste,,288.0,,,,,
win,,,,,,1417.0,
world,,,,,,1171.0,
write,,,,9392.0,,,
year,,,,,7994.0,2832.0,
