,climate_bbc,eu_bbc,climate_science,eu_science
child,,,,412.0
come,,499.0,,
company,1528.0,527.0,,
control,,,,488.0
development,,,1689.0,
electricity,,,1831.0,
film,,510.0,,
game,1385.0,,,
high,,,1799.0,537.0
include,,497.0,2228.0,463.0
increase,,,1788.0,575.0
level,,,1793.0,466.0
method,,,,498.0
patient,,,,411.0
plan,,553.0,,
play,,492.0,,
power,,,1723.0,
programme,1509.0,,,
project,1344.0,,,
provide,,,1781.0,
service,,462.0,,
set,1337.0,463.0,,
system,1473.0,,2508.0,585.0
tax,1356.0,,,
use,1538.0,546.0,1783.0,476.0
win,1427.0,,,
work,1336.0,480.0,,
