Model_Vec,class,f1_score,precision,recall,support,time_secs
"KNN, Count Vectors:",    0,0.95,1.0,0.91,1192,0.19866308497148566
"KNN, Count Vectors:",    1,0.37,0.23,1.0,31,0.19866308497148566
"KNN, Count Vectors Char: ",    0,0.95,0.97,0.94,1129,0.28999500497593544
"KNN, Count Vectors Char: ",    1,0.56,0.47,0.68,94,0.28999500497593544
"KNN, WordLevel TF-IDF: ",    0,0.95,1.0,0.91,1191,0.13418368899147026
"KNN, WordLevel TF-IDF: ",    1,0.37,0.23,0.97,32,0.13418368899147026
"KNN, N-Gram Vectors: ",    0,0.95,1.0,0.9,1207,0.11085667501902208
"KNN, N-Gram Vectors: ",    1,0.21,0.12,1.0,16,0.11085667501902208
"KNN, CharLevel Vectors: ",    0,0.95,1.0,0.9,1207,0.11435728298965842
"KNN, CharLevel Vectors: ",    1,0.21,0.12,1.0,16,0.11435728298965842
