class,f1_score,precision,recall,support,time_secs
    0,0.98,0.99,0.97,1082,0.0037942179988021962
    1,0.85,0.81,0.89,141,0.0037942179988021962
    0,0.95,0.92,0.98,1082,0.0016548230014450382
    1,0.45,0.68,0.34,141,0.0016548230014450382
    0,0.94,0.88,1.0,1082,0.0014874259977659676
    1,0.0,0.0,0.0,141,0.0014874259977659676
    0,0.94,0.88,1.0,1082,0.0042213009983242955
    1,0.0,0.0,0.0,141,0.0042213009983242955
    0,0.94,0.88,1.0,1082,0.002648914000019431
    1,0.0,0.0,0.0,141,0.002648914000019431
