class,f1_score,precision,recall,support,time_secs
    0,0.98,0.98,0.99,1080,0.004249051009537652
    1,0.87,0.9,0.85,143,0.004249051009537652
    0,0.96,0.99,0.92,1164,0.0020088210003450513
    1,0.48,0.35,0.8,59,0.0020088210003450513
    0,0.97,1.0,0.94,1161,0.0020125180017203093
    1,0.63,0.46,1.0,62,0.0020125180017203093
    0,0.95,1.0,0.9,1212,0.0056858730094973
    1,0.15,0.08,1.0,11,0.0056858730094973
    0,0.95,1.0,0.9,1212,0.008437401993433014
    1,0.15,0.08,1.0,11,0.008437401993433014
