Model_Vec,class,f1_score,precision,recall,support,time_secs
"SVM, Count Vectors:",    0,0.94,0.88,1.0,1082,0.3408352760015987
"SVM, Count Vectors:",    1,0.0,0.0,0.0,141,0.3408352760015987
"SVM, Count Vectors Char: ",    0,0.96,0.94,0.99,1082,0.7420869399975345
"SVM, Count Vectors Char: ",    1,0.62,0.88,0.48,141,0.7420869399975345
"SVM, WordLevel TF-IDF: ",    0,0.94,0.88,1.0,1082,0.2962129509978695
"SVM, WordLevel TF-IDF: ",    1,0.0,0.0,0.0,141,0.2962129509978695
"SVM, N-Gram Vectors: ",    0,0.94,0.88,1.0,1082,0.13172566399953212
"SVM, N-Gram Vectors: ",    1,0.0,0.0,0.0,141,0.13172566399953212
"SVM, CharLevel Vectors: ",    0,0.94,0.88,1.0,1082,0.1333563910011435
"SVM, CharLevel Vectors: ",    1,0.0,0.0,0.0,141,0.1333563910011435
