class,f1_score,precision,recall,support,time_secs
    0,0.99,0.99,0.98,1091,0.004576407998683862
    1,0.89,0.86,0.91,132,0.004576407998683862
    0,0.98,0.98,0.98,1091,0.002039677001448581
    1,0.85,0.87,0.84,132,0.002039677001448581
    0,0.97,0.95,1.0,1091,0.0022386599994206335
    1,0.71,1.0,0.55,132,0.0022386599994206335
    0,0.95,0.91,1.0,1091,0.008059481000600499
    1,0.35,1.0,0.21,132,0.008059481000600499
    0,0.95,0.91,1.0,1091,0.009321022000222001
    1,0.35,1.0,0.21,132,0.009321022000222001
