class,f1_score,precision,recall,support,time_secs
    0,0.98,0.99,0.97,1076,0.0034411719989293488
    1,0.84,0.79,0.9,147,0.0034411719989293488
    0,0.94,0.91,0.98,1076,0.0018635819997143699
    1,0.39,0.63,0.28,147,0.0018635819997143699
    0,0.98,0.95,1.0,1076,0.0019510260008246405
    1,0.78,1.0,0.64,147,0.0019510260008246405
    0,0.94,0.9,1.0,1076,0.003829258999758167
    1,0.25,1.0,0.14,147,0.003829258999758167
    0,0.94,0.9,1.0,1076,0.0047273599993786775
    1,0.25,1.0,0.14,147,0.0047273599993786775
