Model_Vec,class,f1_score,precision,recall,support,time_secs
"KNN, Count Vectors:",    0,0.97,0.99,0.96,1372,0.4863748819916509
"KNN, Count Vectors:",    1,0.6,0.46,0.85,62,0.4863748819916509
"KNN, Count Vectors Char: ",    0,0.96,0.98,0.94,1374,0.5896292629768141
"KNN, Count Vectors Char: ",    1,0.34,0.26,0.5,60,0.5896292629768141
"KNN, WordLevel TF-IDF: ",    0,0.99,0.99,0.98,1338,0.4857866080128588
"KNN, WordLevel TF-IDF: ",    1,0.82,0.75,0.9,96,0.4857866080128588
"KNN, N-Gram Vectors: ",    0,0.98,0.99,0.98,1328,0.25477114995010197
"KNN, N-Gram Vectors: ",    1,0.81,0.78,0.84,106,0.25477114995010197
"KNN, CharLevel Vectors: ",    0,0.98,0.99,0.98,1328,0.24339864903595299
"KNN, CharLevel Vectors: ",    1,0.81,0.78,0.84,106,0.24339864903595299
