class,f1_score,precision,recall,support,time_secs
    0,0.89,0.96,0.82,136,0.038310407020617276
    1,0.85,0.82,0.88,106,0.038310407020617276
    2,0.84,0.92,0.78,208,0.038310407020617276
    3,0.91,0.91,0.9,105,0.038310407020617276
    4,0.82,0.9,0.76,104,0.038310407020617276
    5,0.84,0.86,0.82,99,0.038310407020617276
    6,0.68,0.63,0.75,83,0.038310407020617276
    7,0.6,0.49,0.77,66,0.038310407020617276
    8,0.71,0.67,0.77,162,0.038310407020617276
    9,0.79,0.77,0.81,157,0.038310407020617276
   10,0.75,0.79,0.71,208,0.038310407020617276
    0,0.49,0.52,0.46,132,0.004473767010495067
    1,0.49,0.49,0.49,114,0.004473767010495067
    2,0.47,0.42,0.52,145,0.004473767010495067
    3,0.53,0.6,0.48,129,0.004473767010495067
    4,0.31,0.42,0.25,148,0.004473767010495067
    5,0.4,0.47,0.35,125,0.004473767010495067
    6,0.3,0.31,0.28,111,0.004473767010495067
    7,0.18,0.14,0.25,59,0.004473767010495067
    8,0.31,0.3,0.34,164,0.004473767010495067
    9,0.37,0.34,0.4,141,0.004473767010495067
   10,0.32,0.3,0.34,166,0.004473767010495067
    0,0.91,0.91,0.9,119,0.02443849598057568
    1,0.82,0.79,0.86,105,0.02443849598057568
    2,0.83,0.91,0.77,210,0.02443849598057568
    3,0.89,0.9,0.88,107,0.02443849598057568
    4,0.86,0.88,0.85,91,0.02443849598057568
    5,0.82,0.8,0.84,89,0.02443849598057568
    6,0.56,0.41,0.87,47,0.02443849598057568
    7,0.04,0.02,0.67,3,0.02443849598057568
    8,0.56,0.7,0.47,275,0.02443849598057568
    9,0.76,0.71,0.82,142,0.02443849598057568
   10,0.71,0.82,0.62,246,0.02443849598057568
    0,0.76,0.62,0.96,76,0.8831783029600047
    1,0.82,0.72,0.94,87,0.8831783029600047
    2,0.86,0.93,0.8,207,0.8831783029600047
    3,0.87,0.83,0.92,93,0.8831783029600047
    4,0.71,0.58,0.93,55,0.8831783029600047
    5,0.81,0.72,0.92,74,0.8831783029600047
    6,0.41,0.26,0.9,29,0.8831783029600047
    7,0.0,0.0,0.0,0,0.8831783029600047
    8,0.57,0.74,0.47,295,0.8831783029600047
    9,0.66,0.53,0.88,99,0.8831783029600047
   10,0.59,0.96,0.43,419,0.8831783029600047
    0,0.76,0.62,0.96,76,0.7992760589695536
    1,0.82,0.72,0.94,87,0.7992760589695536
    2,0.86,0.93,0.8,207,0.7992760589695536
    3,0.87,0.83,0.92,93,0.7992760589695536
    4,0.71,0.58,0.93,55,0.7992760589695536
    5,0.81,0.72,0.92,74,0.7992760589695536
    6,0.41,0.26,0.9,29,0.7992760589695536
    7,0.0,0.0,0.0,0,0.7992760589695536
    8,0.57,0.74,0.47,295,0.7992760589695536
    9,0.66,0.53,0.88,99,0.7992760589695536
   10,0.59,0.96,0.43,419,0.7992760589695536
