Model_Vec,class,f1_score,precision,recall,support,time_secs
"LRM, Count Vectors:",    0,0.95,0.95,0.96,113,0.42264189303386956
"LRM, Count Vectors:",    1,0.95,0.95,0.95,81,0.42264189303386956
"LRM, Count Vectors:",    2,0.95,0.95,0.94,111,0.42264189303386956
"LRM, Count Vectors:",    3,0.99,0.98,0.99,128,0.42264189303386956
"LRM, Count Vectors:",    4,0.99,0.99,0.99,95,0.42264189303386956
"LRM, WordLevel TF-IDF: ",    0,0.95,0.96,0.95,115,0.13235860399436206
"LRM, WordLevel TF-IDF: ",    1,0.96,0.95,0.96,80,0.13235860399436206
"LRM, WordLevel TF-IDF: ",    2,0.96,0.96,0.95,110,0.13235860399436206
"LRM, WordLevel TF-IDF: ",    3,0.98,0.99,0.98,131,0.13235860399436206
"LRM, WordLevel TF-IDF: ",    4,0.97,0.96,0.99,92,0.13235860399436206
"LRM, N-Gram Vectors: ",    0,0.76,0.97,0.62,179,1.9188667419948615
"LRM, N-Gram Vectors: ",    1,0.84,0.73,1.0,59,1.9188667419948615
"LRM, N-Gram Vectors: ",    2,0.88,0.81,0.97,91,1.9188667419948615
"LRM, N-Gram Vectors: ",    3,0.97,0.98,0.95,132,1.9188667419948615
"LRM, N-Gram Vectors: ",    4,0.81,0.69,0.99,67,1.9188667419948615
"LRM, CharLevel Vectors: ",    0,0.76,0.97,0.62,179,1.8668973859748803
"LRM, CharLevel Vectors: ",    1,0.84,0.73,1.0,59,1.8668973859748803
"LRM, CharLevel Vectors: ",    2,0.88,0.81,0.97,91,1.8668973859748803
"LRM, CharLevel Vectors: ",    3,0.97,0.98,0.95,132,1.8668973859748803
"LRM, CharLevel Vectors: ",    4,0.81,0.69,0.99,67,1.8668973859748803
