Model_Vec,class,f1_score,precision,recall,support,time_secs
"RF, Count Vectors:",    0,0.87,0.94,0.82,131,0.24212183500640094
"RF, Count Vectors:",    1,0.87,0.85,0.88,78,0.24212183500640094
"RF, Count Vectors:",    2,0.88,0.86,0.9,105,0.24212183500640094
"RF, Count Vectors:",    3,0.94,0.98,0.9,140,0.24212183500640094
"RF, Count Vectors:",    4,0.84,0.75,0.96,74,0.24212183500640094
"RF, WordLevel TF-IDF: ",    0,0.88,0.92,0.83,126,0.23015771998325363
"RF, WordLevel TF-IDF: ",    1,0.92,0.9,0.95,77,0.23015771998325363
"RF, WordLevel TF-IDF: ",    2,0.92,0.9,0.93,105,0.23015771998325363
"RF, WordLevel TF-IDF: ",    3,0.97,1.0,0.94,137,0.23015771998325363
"RF, WordLevel TF-IDF: ",    4,0.89,0.83,0.95,83,0.23015771998325363
"RF, N-Gram Vectors: ",    0,0.58,0.96,0.42,264,4.609317774011288
"RF, N-Gram Vectors: ",    1,0.62,0.46,0.95,39,4.609317774011288
"RF, N-Gram Vectors: ",    2,0.82,0.72,0.95,82,4.609317774011288
"RF, N-Gram Vectors: ",    3,0.83,0.72,0.98,95,4.609317774011288
"RF, N-Gram Vectors: ",    4,0.64,0.48,0.96,48,4.609317774011288
"RF, CharLevel Vectors: ",    0,0.65,0.94,0.5,215,4.633009489043616
"RF, CharLevel Vectors: ",    1,0.66,0.52,0.91,46,4.633009489043616
"RF, CharLevel Vectors: ",    2,0.87,0.81,0.94,94,4.633009489043616
"RF, CharLevel Vectors: ",    3,0.86,0.83,0.9,119,4.633009489043616
"RF, CharLevel Vectors: ",    4,0.68,0.54,0.94,54,4.633009489043616
