Model_Vec,class,f1_score,precision,recall,support,time_secs
"KNN, Count Vectors:",    0,0.75,0.63,0.91,79,0.07758345798356459
"KNN, Count Vectors:",    1,0.69,0.56,0.9,50,0.07758345798356459
"KNN, Count Vectors:",    2,0.76,0.65,0.92,77,0.07758345798356459
"KNN, Count Vectors:",    3,0.63,1.0,0.46,283,0.07758345798356459
"KNN, Count Vectors:",    4,0.57,0.4,0.97,39,0.07758345798356459
"KNN, Count Vectors Char: ",    0,0.45,0.54,0.39,155,0.07384040599572472
"KNN, Count Vectors Char: ",    1,0.4,0.48,0.35,113,0.07384040599572472
"KNN, Count Vectors Char: ",    2,0.54,0.56,0.52,118,0.07384040599572472
"KNN, Count Vectors Char: ",    3,0.58,0.52,0.66,102,0.07384040599572472
"KNN, Count Vectors Char: ",    4,0.36,0.25,0.6,40,0.07384040599572472
"KNN, WordLevel TF-IDF: ",    0,0.92,0.92,0.91,115,0.06445200901362114
"KNN, WordLevel TF-IDF: ",    1,0.91,0.88,0.95,75,0.06445200901362114
"KNN, WordLevel TF-IDF: ",    2,0.92,0.93,0.91,111,0.06445200901362114
"KNN, WordLevel TF-IDF: ",    3,0.98,0.98,0.99,127,0.06445200901362114
"KNN, WordLevel TF-IDF: ",    4,0.92,0.95,0.9,100,0.06445200901362114
"KNN, N-Gram Vectors: ",    0,0.9,0.89,0.9,113,0.03060879700933583
"KNN, N-Gram Vectors: ",    1,0.94,0.93,0.95,79,0.03060879700933583
"KNN, N-Gram Vectors: ",    2,0.93,0.96,0.91,116,0.03060879700933583
"KNN, N-Gram Vectors: ",    3,0.98,0.98,0.99,127,0.03060879700933583
"KNN, N-Gram Vectors: ",    4,0.94,0.93,0.95,93,0.03060879700933583
"KNN, CharLevel Vectors: ",    0,0.9,0.89,0.9,113,0.031181036989437416
"KNN, CharLevel Vectors: ",    1,0.94,0.93,0.95,79,0.031181036989437416
"KNN, CharLevel Vectors: ",    2,0.93,0.96,0.91,116,0.031181036989437416
"KNN, CharLevel Vectors: ",    3,0.98,0.98,0.99,127,0.031181036989437416
"KNN, CharLevel Vectors: ",    4,0.94,0.93,0.95,93,0.031181036989437416
