class,f1_score,precision,recall,support,time_secs
    0,0.96,0.94,0.97,110,0.012611780985025689
    1,0.96,0.94,0.97,78,0.012611780985025689
    2,0.96,0.97,0.95,112,0.012611780985025689
    3,1.0,1.0,1.0,129,0.012611780985025689
    4,0.97,0.99,0.95,99,0.012611780985025689
    0,0.51,0.54,0.48,126,0.00204705900978297
    1,0.5,0.52,0.48,88,0.00204705900978297
    2,0.57,0.54,0.6,98,0.00204705900978297
    3,0.67,0.67,0.68,127,0.00204705900978297
    4,0.52,0.51,0.54,89,0.00204705900978297
    0,0.95,0.98,0.91,123,0.012169396999524906
    1,0.95,0.91,0.99,75,0.012169396999524906
    2,0.95,0.95,0.95,110,0.012169396999524906
    3,0.98,1.0,0.97,133,0.012169396999524906
    4,0.95,0.91,0.99,87,0.012169396999524906
    0,0.77,0.96,0.65,170,0.25367727599223144
    1,0.81,0.68,1.0,55,0.25367727599223144
    2,0.95,0.94,0.95,108,0.25367727599223144
    3,0.97,0.98,0.95,133,0.25367727599223144
    4,0.79,0.65,1.0,62,0.25367727599223144
    0,0.77,0.96,0.65,170,0.24761267099529505
    1,0.81,0.68,1.0,55,0.24761267099529505
    2,0.95,0.94,0.95,108,0.24761267099529505
    3,0.97,0.98,0.95,133,0.24761267099529505
    4,0.79,0.65,1.0,62,0.24761267099529505
