Model_Vec,class,f1_score,precision,recall,support,time_secs
"LRM, Count Vectors:",    0,0.97,0.96,0.98,130,0.3926730189996306
"LRM, Count Vectors:",    1,0.98,1.0,0.97,98,0.3926730189996306
"LRM, Count Vectors:",    2,0.98,1.0,0.96,89,0.3926730189996306
"LRM, Count Vectors:",    3,0.98,0.97,0.99,115,0.3926730189996306
"LRM, Count Vectors:",    4,0.99,0.99,1.0,97,0.3926730189996306
"LRM, WordLevel TF-IDF: ",    0,0.95,0.93,0.98,130,0.15418380000119214
"LRM, WordLevel TF-IDF: ",    1,0.96,1.0,0.93,98,0.15418380000119214
"LRM, WordLevel TF-IDF: ",    2,0.94,0.96,0.92,89,0.15418380000119214
"LRM, WordLevel TF-IDF: ",    3,0.98,0.97,1.0,115,0.15418380000119214
"LRM, WordLevel TF-IDF: ",    4,0.97,0.97,0.98,97,0.15418380000119214
"LRM, N-Gram Vectors: ",    0,0.74,0.59,0.99,130,3.407919826999205
"LRM, N-Gram Vectors: ",    1,0.65,1.0,0.48,98,3.407919826999205
"LRM, N-Gram Vectors: ",    2,0.89,0.97,0.82,89,3.407919826999205
"LRM, N-Gram Vectors: ",    3,0.88,0.78,1.0,115,3.407919826999205
"LRM, N-Gram Vectors: ",    4,0.61,1.0,0.44,97,3.407919826999205
"LRM, CharLevel Vectors: ",    0,0.74,0.59,0.99,130,3.369389557001341
"LRM, CharLevel Vectors: ",    1,0.65,1.0,0.48,98,3.369389557001341
"LRM, CharLevel Vectors: ",    2,0.89,0.97,0.82,89,3.369389557001341
"LRM, CharLevel Vectors: ",    3,0.88,0.78,1.0,115,3.369389557001341
"LRM, CharLevel Vectors: ",    4,0.61,1.0,0.44,97,3.369389557001341
