Model_Vec,class,f1_score,precision,recall,support,time_secs
"KNN, Count Vectors:",    0,0.63,0.86,0.5,130,0.07043640600022627
"KNN, Count Vectors:",    1,0.51,0.82,0.37,98,0.07043640600022627
"KNN, Count Vectors:",    2,0.76,0.95,0.63,89,0.07043640600022627
"KNN, Count Vectors:",    3,0.52,0.35,1.0,115,0.07043640600022627
"KNN, Count Vectors:",    4,0.41,0.96,0.26,97,0.07043640600022627
"KNN, Count Vectors Char: ",    0,0.57,0.53,0.6,130,0.08844463400055247
"KNN, Count Vectors Char: ",    1,0.5,0.51,0.49,98,0.08844463400055247
"KNN, Count Vectors Char: ",    2,0.45,0.39,0.55,89,0.08844463400055247
"KNN, Count Vectors Char: ",    3,0.66,0.66,0.66,115,0.08844463400055247
"KNN, Count Vectors Char: ",    4,0.38,0.59,0.28,97,0.08844463400055247
"KNN, WordLevel TF-IDF: ",    0,0.9,0.98,0.83,130,0.11598950999905355
"KNN, WordLevel TF-IDF: ",    1,0.96,0.99,0.93,98,0.11598950999905355
"KNN, WordLevel TF-IDF: ",    2,0.88,0.81,0.98,89,0.11598950999905355
"KNN, WordLevel TF-IDF: ",    3,0.98,0.97,0.98,115,0.11598950999905355
"KNN, WordLevel TF-IDF: ",    4,0.94,0.91,0.97,97,0.11598950999905355
"KNN, N-Gram Vectors: ",    0,0.95,0.96,0.94,130,0.19988825499967788
"KNN, N-Gram Vectors: ",    1,0.95,0.99,0.91,98,0.19988825499967788
"KNN, N-Gram Vectors: ",    2,0.95,0.93,0.98,89,0.19988825499967788
"KNN, N-Gram Vectors: ",    3,0.97,0.95,1.0,115,0.19988825499967788
"KNN, N-Gram Vectors: ",    4,0.97,0.97,0.97,97,0.19988825499967788
"KNN, CharLevel Vectors: ",    0,0.95,0.96,0.94,130,0.22833895000076154
"KNN, CharLevel Vectors: ",    1,0.95,0.99,0.91,98,0.22833895000076154
"KNN, CharLevel Vectors: ",    2,0.95,0.93,0.98,89,0.22833895000076154
"KNN, CharLevel Vectors: ",    3,0.97,0.95,1.0,115,0.22833895000076154
"KNN, CharLevel Vectors: ",    4,0.97,0.97,0.97,97,0.22833895000076154
