class,f1_score,precision,recall,support,time_secs
    0,0.97,0.98,0.97,130,0.00959368199983146
    1,0.97,0.99,0.95,98,0.00959368199983146
    2,0.97,0.97,0.98,89,0.00959368199983146
    3,1.0,1.0,1.0,115,0.00959368199983146
    4,0.97,0.95,0.99,97,0.00959368199983146
    0,0.72,0.69,0.75,130,0.0020452080007089535
    1,0.59,0.64,0.55,98,0.0020452080007089535
    2,0.64,0.57,0.73,89,0.0020452080007089535
    3,0.71,0.81,0.63,115,0.0020452080007089535
    4,0.68,0.67,0.68,97,0.0020452080007089535
    0,0.95,0.91,0.99,130,0.009494501999142813
    1,0.83,1.0,0.71,98,0.009494501999142813
    2,0.91,0.87,0.96,89,0.009494501999142813
    3,0.93,0.88,1.0,115,0.009494501999142813
    4,0.95,1.0,0.91,97,0.009494501999142813
    0,0.81,0.68,0.99,130,0.33676792699952784
    1,0.54,1.0,0.37,98,0.33676792699952784
    2,0.93,0.93,0.92,89,0.33676792699952784
    3,0.79,0.66,1.0,115,0.33676792699952784
    4,0.59,1.0,0.42,97,0.33676792699952784
    0,0.81,0.68,0.99,130,0.3394716000002518
    1,0.54,1.0,0.37,98,0.3394716000002518
    2,0.93,0.93,0.92,89,0.3394716000002518
    3,0.79,0.66,1.0,115,0.3394716000002518
    4,0.59,1.0,0.42,97,0.3394716000002518
