Model_Vec,class,f1_score,precision,recall,support,time_secs
"LRM, Count Vectors:",    0,0.97,0.94,0.99,120,0.2995199720007804
"LRM, Count Vectors:",    1,0.96,0.97,0.96,94,0.2995199720007804
"LRM, Count Vectors:",    2,0.99,0.99,0.98,103,0.2995199720007804
"LRM, Count Vectors:",    3,1.0,0.99,1.0,119,0.2995199720007804
"LRM, Count Vectors:",    4,0.95,0.98,0.92,93,0.2995199720007804
"LRM, WordLevel TF-IDF: ",    0,0.93,0.88,0.99,120,0.10038614299992332
"LRM, WordLevel TF-IDF: ",    1,0.97,0.97,0.97,94,0.10038614299992332
"LRM, WordLevel TF-IDF: ",    2,0.96,0.99,0.93,103,0.10038614299992332
"LRM, WordLevel TF-IDF: ",    3,0.99,0.98,1.0,119,0.10038614299992332
"LRM, WordLevel TF-IDF: ",    4,0.93,1.0,0.87,93,0.10038614299992332
"LRM, N-Gram Vectors: ",    0,0.61,0.44,0.99,120,1.6016229819997534
"LRM, N-Gram Vectors: ",    1,0.34,1.0,0.2,94,1.6016229819997534
"LRM, N-Gram Vectors: ",    2,0.77,1.0,0.63,103,1.6016229819997534
"LRM, N-Gram Vectors: ",    3,0.82,0.7,0.97,119,1.6016229819997534
"LRM, N-Gram Vectors: ",    4,0.21,1.0,0.12,93,1.6016229819997534
"LRM, CharLevel Vectors: ",    0,0.61,0.44,0.99,120,1.5590263430003688
"LRM, CharLevel Vectors: ",    1,0.34,1.0,0.2,94,1.5590263430003688
"LRM, CharLevel Vectors: ",    2,0.77,1.0,0.63,103,1.5590263430003688
"LRM, CharLevel Vectors: ",    3,0.82,0.7,0.97,119,1.5590263430003688
"LRM, CharLevel Vectors: ",    4,0.21,1.0,0.12,93,1.5590263430003688
