Model_Vec,class,f1_score,precision,recall,support,time_secs
"NN, Count Vectors:",    0,0.79,1.0,0.65,112,10.155673227998705
"NN, Count Vectors:",    1,0.34,0.21,1.0,95,10.155673227998705
"NN, Count Vectors:",    2,0.0,0.0,0.0,97,10.155673227998705
"NN, Count Vectors:",    3,0.0,0.0,0.0,133,10.155673227998705
"NN, Count Vectors:",    4,0.0,0.0,0.0,92,10.155673227998705
"NN, WordLevel TF-IDF: ",    0,0.0,0.0,0.0,112,8.443143612999847
"NN, WordLevel TF-IDF: ",    1,0.3,0.18,1.0,95,8.443143612999847
"NN, WordLevel TF-IDF: ",    2,0.0,0.0,0.0,97,8.443143612999847
"NN, WordLevel TF-IDF: ",    3,0.0,0.0,0.0,133,8.443143612999847
"NN, WordLevel TF-IDF: ",    4,0.0,0.0,0.0,92,8.443143612999847
"NN, N-Gram Vectors: ",    0,0.02,1.0,0.01,112,263.1410961239999
"NN, N-Gram Vectors: ",    1,0.3,0.18,1.0,95,263.1410961239999
"NN, N-Gram Vectors: ",    2,0.0,0.0,0.0,97,263.1410961239999
"NN, N-Gram Vectors: ",    3,0.0,0.0,0.0,133,263.1410961239999
"NN, N-Gram Vectors: ",    4,0.0,0.0,0.0,92,263.1410961239999
"NN, CharLevel Vectors: ",    0,0.0,0.0,0.0,112,197.7954429780002
"NN, CharLevel Vectors: ",    1,0.3,0.18,1.0,95,197.7954429780002
"NN, CharLevel Vectors: ",    2,0.0,0.0,0.0,97,197.7954429780002
"NN, CharLevel Vectors: ",    3,0.0,0.0,0.0,133,197.7954429780002
"NN, CharLevel Vectors: ",    4,0.0,0.0,0.0,92,197.7954429780002
