Model_Vec,class,f1_score,precision,recall,support,time_secs
"RF, Count Vectors:",    0,0.84,0.76,0.95,120,0.1753717779993167
"RF, Count Vectors:",    1,0.87,0.88,0.86,94,0.1753717779993167
"RF, Count Vectors:",    2,0.9,0.93,0.87,103,0.1753717779993167
"RF, Count Vectors:",    3,0.96,0.94,0.98,119,0.1753717779993167
"RF, Count Vectors:",    4,0.77,0.94,0.66,93,0.1753717779993167
"RF, WordLevel TF-IDF: ",    0,0.86,0.77,0.96,120,0.16811514100118075
"RF, WordLevel TF-IDF: ",    1,0.87,0.87,0.86,94,0.16811514100118075
"RF, WordLevel TF-IDF: ",    2,0.9,0.9,0.9,103,0.16811514100118075
"RF, WordLevel TF-IDF: ",    3,0.96,0.97,0.95,119,0.16811514100118075
"RF, WordLevel TF-IDF: ",    4,0.8,0.96,0.69,93,0.16811514100118075
"RF, N-Gram Vectors: ",    0,0.72,0.59,0.92,120,2.5858713039997383
"RF, N-Gram Vectors: ",    1,0.75,0.88,0.65,94,2.5858713039997383
"RF, N-Gram Vectors: ",    2,0.89,0.99,0.81,103,2.5858713039997383
"RF, N-Gram Vectors: ",    3,0.86,0.81,0.91,119,2.5858713039997383
"RF, N-Gram Vectors: ",    4,0.69,0.9,0.56,93,2.5858713039997383
"RF, CharLevel Vectors: ",    0,0.83,0.74,0.96,120,2.6170484319991374
"RF, CharLevel Vectors: ",    1,0.75,0.81,0.69,94,2.6170484319991374
"RF, CharLevel Vectors: ",    2,0.92,0.97,0.87,103,2.6170484319991374
"RF, CharLevel Vectors: ",    3,0.86,0.77,0.97,119,2.6170484319991374
"RF, CharLevel Vectors: ",    4,0.66,0.94,0.51,93,2.6170484319991374
