Model_Vec,class,f1_score,precision,recall,support,time_secs
"KNN, Count Vectors:",    0,0.7,0.81,0.62,120,0.06428035499993712
"KNN, Count Vectors:",    1,0.58,0.84,0.45,94,0.06428035499993712
"KNN, Count Vectors:",    2,0.8,0.99,0.68,103,0.06428035499993712
"KNN, Count Vectors:",    3,0.6,0.42,1.0,119,0.06428035499993712
"KNN, Count Vectors:",    4,0.55,0.97,0.39,93,0.06428035499993712
"KNN, Count Vectors Char: ",    0,0.48,0.43,0.55,120,0.06801716399968427
"KNN, Count Vectors Char: ",    1,0.39,0.34,0.47,94,0.06801716399968427
"KNN, Count Vectors Char: ",    2,0.5,0.47,0.54,103,0.06801716399968427
"KNN, Count Vectors Char: ",    3,0.43,0.5,0.38,119,0.06801716399968427
"KNN, Count Vectors Char: ",    4,0.35,0.62,0.25,93,0.06801716399968427
"KNN, WordLevel TF-IDF: ",    0,0.93,0.93,0.93,120,0.06195798899898364
"KNN, WordLevel TF-IDF: ",    1,0.9,0.93,0.87,94,0.06195798899898364
"KNN, WordLevel TF-IDF: ",    2,0.93,0.92,0.94,103,0.06195798899898364
"KNN, WordLevel TF-IDF: ",    3,0.99,0.98,0.99,119,0.06195798899898364
"KNN, WordLevel TF-IDF: ",    4,0.9,0.89,0.91,93,0.06195798899898364
"KNN, N-Gram Vectors: ",    0,0.89,0.84,0.93,120,0.05877172500004235
"KNN, N-Gram Vectors: ",    1,0.91,0.94,0.88,94,0.05877172500004235
"KNN, N-Gram Vectors: ",    2,0.95,0.95,0.95,103,0.05877172500004235
"KNN, N-Gram Vectors: ",    3,0.97,0.99,0.96,119,0.05877172500004235
"KNN, N-Gram Vectors: ",    4,0.86,0.88,0.85,93,0.05877172500004235
"KNN, CharLevel Vectors: ",    0,0.89,0.84,0.93,120,0.05331376899994211
"KNN, CharLevel Vectors: ",    1,0.91,0.94,0.88,94,0.05331376899994211
"KNN, CharLevel Vectors: ",    2,0.95,0.95,0.95,103,0.05331376899994211
"KNN, CharLevel Vectors: ",    3,0.97,0.99,0.96,119,0.05331376899994211
"KNN, CharLevel Vectors: ",    4,0.86,0.88,0.85,93,0.05331376899994211
