class,f1_score,precision,recall,support,time_secs
    0,0.98,0.96,0.99,120,0.007894739001130802
    1,0.97,0.98,0.96,94,0.007894739001130802
    2,0.98,0.97,0.98,103,0.007894739001130802
    3,0.99,1.0,0.98,119,0.007894739001130802
    4,0.97,0.98,0.97,93,0.007894739001130802
    0,0.55,0.52,0.58,120,0.001803847000701353
    1,0.48,0.49,0.46,94,0.001803847000701353
    2,0.47,0.48,0.47,103,0.001803847000701353
    3,0.65,0.66,0.64,119,0.001803847000701353
    4,0.51,0.52,0.51,93,0.001803847000701353
    0,0.92,0.85,1.0,120,0.006852424001408508
    1,0.94,0.98,0.9,94,0.006852424001408508
    2,0.96,0.97,0.94,103,0.006852424001408508
    3,0.98,0.98,0.99,119,0.006852424001408508
    4,0.92,1.0,0.85,93,0.006852424001408508
    0,0.71,0.55,1.0,120,0.1880245680004009
    1,0.46,0.97,0.3,94,0.1880245680004009
    2,0.89,1.0,0.81,103,0.1880245680004009
    3,0.79,0.66,0.99,119,0.1880245680004009
    4,0.34,1.0,0.2,93,0.1880245680004009
    0,0.71,0.55,1.0,120,0.13309909999952652
    1,0.46,0.97,0.3,94,0.13309909999952652
    2,0.89,1.0,0.81,103,0.13309909999952652
    3,0.79,0.66,0.99,119,0.13309909999952652
    4,0.34,1.0,0.2,93,0.13309909999952652
