Model_Vec,class,f1_score,precision,recall,support,time_secs
"LRM, Count Vectors:",    0,0.94,0.97,0.92,119,2.0919894140097313
"LRM, Count Vectors:",    1,0.94,0.98,0.91,111,2.0919894140097313
"LRM, Count Vectors:",    2,0.96,0.98,0.95,176,2.0919894140097313
"LRM, Count Vectors:",    3,0.97,0.96,0.98,99,2.0919894140097313
"LRM, Count Vectors:",    4,0.85,0.87,0.84,92,2.0919894140097313
"LRM, Count Vectors:",    5,0.9,0.92,0.89,100,2.0919894140097313
"LRM, Count Vectors:",    6,0.76,0.7,0.82,80,2.0919894140097313
"LRM, Count Vectors:",    7,0.82,0.77,0.89,96,2.0919894140097313
"LRM, Count Vectors:",    8,0.85,0.84,0.85,201,2.0919894140097313
"LRM, Count Vectors:",    9,0.83,0.84,0.83,166,2.0919894140097313
"LRM, Count Vectors:",   10,0.88,0.89,0.87,194,2.0919894140097313
"LRM, WordLevel TF-IDF: ",    0,0.94,0.96,0.91,119,0.8802587759564631
"LRM, WordLevel TF-IDF: ",    1,0.95,0.95,0.94,104,0.8802587759564631
"LRM, WordLevel TF-IDF: ",    2,0.86,0.92,0.81,194,0.8802587759564631
"LRM, WordLevel TF-IDF: ",    3,0.97,0.96,0.97,100,0.8802587759564631
"LRM, WordLevel TF-IDF: ",    4,0.84,0.83,0.84,88,0.8802587759564631
"LRM, WordLevel TF-IDF: ",    5,0.88,0.9,0.86,101,0.8802587759564631
"LRM, WordLevel TF-IDF: ",    6,0.74,0.68,0.82,78,0.8802587759564631
"LRM, WordLevel TF-IDF: ",    7,0.78,0.72,0.85,94,0.8802587759564631
"LRM, WordLevel TF-IDF: ",    8,0.78,0.77,0.8,195,0.8802587759564631
"LRM, WordLevel TF-IDF: ",    9,0.8,0.8,0.81,160,0.8802587759564631
"LRM, WordLevel TF-IDF: ",   10,0.8,0.83,0.78,201,0.8802587759564631
"LRM, N-Gram Vectors: ",    0,0.88,0.81,0.95,96,9.158666862000246
"LRM, N-Gram Vectors: ",    1,0.92,0.92,0.92,103,9.158666862000246
"LRM, N-Gram Vectors: ",    2,0.94,0.94,0.94,170,9.158666862000246
"LRM, N-Gram Vectors: ",    3,0.94,0.9,0.98,93,9.158666862000246
"LRM, N-Gram Vectors: ",    4,0.77,0.64,0.95,60,9.158666862000246
"LRM, N-Gram Vectors: ",    5,0.88,0.8,0.96,81,9.158666862000246
"LRM, N-Gram Vectors: ",    6,0.59,0.44,0.93,44,9.158666862000246
"LRM, N-Gram Vectors: ",    7,0.25,0.14,1.0,16,9.158666862000246
"LRM, N-Gram Vectors: ",    8,0.71,0.89,0.58,310,9.158666862000246
"LRM, N-Gram Vectors: ",    9,0.61,0.81,0.49,268,9.158666862000246
"LRM, N-Gram Vectors: ",   10,0.9,0.91,0.9,193,9.158666862000246
"LRM, CharLevel Vectors: ",    0,0.88,0.81,0.95,96,8.184777157031931
"LRM, CharLevel Vectors: ",    1,0.92,0.92,0.92,103,8.184777157031931
"LRM, CharLevel Vectors: ",    2,0.94,0.94,0.94,170,8.184777157031931
"LRM, CharLevel Vectors: ",    3,0.94,0.9,0.98,93,8.184777157031931
"LRM, CharLevel Vectors: ",    4,0.77,0.64,0.95,60,8.184777157031931
"LRM, CharLevel Vectors: ",    5,0.88,0.8,0.96,81,8.184777157031931
"LRM, CharLevel Vectors: ",    6,0.59,0.44,0.93,44,8.184777157031931
"LRM, CharLevel Vectors: ",    7,0.25,0.14,1.0,16,8.184777157031931
"LRM, CharLevel Vectors: ",    8,0.71,0.89,0.58,310,8.184777157031931
"LRM, CharLevel Vectors: ",    9,0.61,0.81,0.49,268,8.184777157031931
"LRM, CharLevel Vectors: ",   10,0.9,0.91,0.9,193,8.184777157031931
