Model_Vec,class,f1_score,precision,recall,support,time_secs
"RF, Count Vectors:",    0,0.84,0.92,0.78,132,1.1471950740087777
"RF, Count Vectors:",    1,0.88,0.91,0.85,111,1.1471950740087777
"RF, Count Vectors:",    2,0.8,0.88,0.73,208,1.1471950740087777
"RF, Count Vectors:",    3,0.91,0.95,0.88,109,1.1471950740087777
"RF, Count Vectors:",    4,0.73,0.87,0.63,122,1.1471950740087777
"RF, Count Vectors:",    5,0.84,0.89,0.8,108,1.1471950740087777
"RF, Count Vectors:",    6,0.56,0.47,0.69,64,1.1471950740087777
"RF, Count Vectors:",    7,0.66,0.52,0.88,66,1.1471950740087777
"RF, Count Vectors:",    8,0.78,0.76,0.8,192,1.1471950740087777
"RF, Count Vectors:",    9,0.72,0.69,0.76,149,1.1471950740087777
"RF, Count Vectors:",   10,0.8,0.76,0.84,173,1.1471950740087777
"RF, WordLevel TF-IDF: ",    0,0.89,0.94,0.84,125,1.141289330960717
"RF, WordLevel TF-IDF: ",    1,0.81,0.82,0.81,104,1.141289330960717
"RF, WordLevel TF-IDF: ",    2,0.82,0.91,0.75,208,1.141289330960717
"RF, WordLevel TF-IDF: ",    3,0.88,0.95,0.82,117,1.141289330960717
"RF, WordLevel TF-IDF: ",    4,0.77,0.8,0.74,96,1.141289330960717
"RF, WordLevel TF-IDF: ",    5,0.87,0.93,0.81,111,1.141289330960717
"RF, WordLevel TF-IDF: ",    6,0.66,0.57,0.77,70,1.141289330960717
"RF, WordLevel TF-IDF: ",    7,0.73,0.62,0.87,79,1.141289330960717
"RF, WordLevel TF-IDF: ",    8,0.76,0.74,0.78,192,1.141289330960717
"RF, WordLevel TF-IDF: ",    9,0.74,0.71,0.77,149,1.141289330960717
"RF, WordLevel TF-IDF: ",   10,0.8,0.78,0.81,183,1.141289330960717
"RF, N-Gram Vectors: ",    0,0.81,0.72,0.91,89,28.919160960998852
"RF, N-Gram Vectors: ",    1,0.91,0.9,0.91,102,28.919160960998852
"RF, N-Gram Vectors: ",    2,0.88,0.92,0.84,188,28.919160960998852
"RF, N-Gram Vectors: ",    3,0.94,0.93,0.95,99,28.919160960998852
"RF, N-Gram Vectors: ",    4,0.52,0.87,0.37,210,28.919160960998852
"RF, N-Gram Vectors: ",    5,0.83,0.81,0.84,94,28.919160960998852
"RF, N-Gram Vectors: ",    6,0.57,0.43,0.85,47,28.919160960998852
"RF, N-Gram Vectors: ",    7,0.6,0.47,0.84,62,28.919160960998852
"RF, N-Gram Vectors: ",    8,0.79,0.73,0.86,172,28.919160960998852
"RF, N-Gram Vectors: ",    9,0.66,0.73,0.6,197,28.919160960998852
"RF, N-Gram Vectors: ",   10,0.87,0.84,0.91,174,28.919160960998852
"RF, CharLevel Vectors: ",    0,0.87,0.82,0.93,99,28.534303863008972
"RF, CharLevel Vectors: ",    1,0.93,0.93,0.93,103,28.534303863008972
"RF, CharLevel Vectors: ",    2,0.86,0.89,0.83,185,28.534303863008972
"RF, CharLevel Vectors: ",    3,0.97,0.96,0.97,100,28.534303863008972
"RF, CharLevel Vectors: ",    4,0.72,0.66,0.79,75,28.534303863008972
"RF, CharLevel Vectors: ",    5,0.85,0.88,0.83,103,28.534303863008972
"RF, CharLevel Vectors: ",    6,0.59,0.47,0.81,54,28.534303863008972
"RF, CharLevel Vectors: ",    7,0.62,0.69,0.56,137,28.534303863008972
"RF, CharLevel Vectors: ",    8,0.83,0.75,0.93,163,28.534303863008972
"RF, CharLevel Vectors: ",    9,0.62,0.76,0.53,235,28.534303863008972
"RF, CharLevel Vectors: ",   10,0.9,0.87,0.92,180,28.534303863008972
