Model_Vec,class,f1_score,precision,recall,support,time_secs
"KNN, Count Vectors:",    0,0.37,0.23,0.87,30,0.4856594619923271
"KNN, Count Vectors:",    1,0.61,0.57,0.65,91,0.4856594619923271
"KNN, Count Vectors:",    2,0.37,0.85,0.24,611,0.4856594619923271
"KNN, Count Vectors:",    3,0.4,0.97,0.25,385,0.4856594619923271
"KNN, Count Vectors:",    4,0.42,0.28,0.81,31,0.4856594619923271
"KNN, Count Vectors:",    5,0.63,0.67,0.6,109,0.4856594619923271
"KNN, Count Vectors:",    6,0.04,0.02,0.5,4,0.4856594619923271
"KNN, Count Vectors:",    7,0.02,0.01,0.25,4,0.4856594619923271
"KNN, Count Vectors:",    8,0.27,0.17,0.61,57,0.4856594619923271
"KNN, Count Vectors:",    9,0.37,0.28,0.55,83,0.4856594619923271
"KNN, Count Vectors:",   10,0.19,0.11,0.72,29,0.4856594619923271
"KNN, Count Vectors Char: ",    0,0.28,0.45,0.21,240,0.6004977229749784
"KNN, Count Vectors Char: ",    1,0.34,0.45,0.27,171,0.6004977229749784
"KNN, Count Vectors Char: ",    2,0.3,0.37,0.25,260,0.6004977229749784
"KNN, Count Vectors Char: ",    3,0.45,0.5,0.42,119,0.6004977229749784
"KNN, Count Vectors Char: ",    4,0.18,0.17,0.19,80,0.6004977229749784
"KNN, Count Vectors Char: ",    5,0.23,0.19,0.29,63,0.6004977229749784
"KNN, Count Vectors Char: ",    6,0.15,0.11,0.25,40,0.6004977229749784
"KNN, Count Vectors Char: ",    7,0.08,0.05,0.12,48,0.6004977229749784
"KNN, Count Vectors Char: ",    8,0.18,0.16,0.21,152,0.6004977229749784
"KNN, Count Vectors Char: ",    9,0.21,0.18,0.24,125,0.6004977229749784
"KNN, Count Vectors Char: ",   10,0.21,0.18,0.26,136,0.6004977229749784
"KNN, WordLevel TF-IDF: ",    0,0.76,0.9,0.66,154,0.494874476979021
"KNN, WordLevel TF-IDF: ",    1,0.79,0.84,0.74,117,0.494874476979021
"KNN, WordLevel TF-IDF: ",    2,0.67,0.78,0.58,228,0.494874476979021
"KNN, WordLevel TF-IDF: ",    3,0.84,0.93,0.77,122,0.494874476979021
"KNN, WordLevel TF-IDF: ",    4,0.7,0.78,0.64,107,0.494874476979021
"KNN, WordLevel TF-IDF: ",    5,0.77,0.86,0.7,119,0.494874476979021
"KNN, WordLevel TF-IDF: ",    6,0.59,0.54,0.64,80,0.494874476979021
"KNN, WordLevel TF-IDF: ",    7,0.26,0.18,0.5,40,0.494874476979021
"KNN, WordLevel TF-IDF: ",    8,0.48,0.43,0.55,159,0.494874476979021
"KNN, WordLevel TF-IDF: ",    9,0.62,0.61,0.62,160,0.494874476979021
"KNN, WordLevel TF-IDF: ",   10,0.51,0.46,0.59,148,0.494874476979021
"KNN, N-Gram Vectors: ",    0,0.78,0.89,0.69,144,0.22088696603896096
"KNN, N-Gram Vectors: ",    1,0.81,0.82,0.8,105,0.22088696603896096
"KNN, N-Gram Vectors: ",    2,0.68,0.78,0.6,222,0.22088696603896096
"KNN, N-Gram Vectors: ",    3,0.85,0.91,0.79,116,0.22088696603896096
"KNN, N-Gram Vectors: ",    4,0.74,0.85,0.65,117,0.22088696603896096
"KNN, N-Gram Vectors: ",    5,0.78,0.89,0.7,123,0.22088696603896096
"KNN, N-Gram Vectors: ",    6,0.57,0.49,0.68,68,0.22088696603896096
"KNN, N-Gram Vectors: ",    7,0.43,0.32,0.69,51,0.22088696603896096
"KNN, N-Gram Vectors: ",    8,0.56,0.49,0.66,150,0.22088696603896096
"KNN, N-Gram Vectors: ",    9,0.62,0.58,0.67,142,0.22088696603896096
"KNN, N-Gram Vectors: ",   10,0.66,0.67,0.65,196,0.22088696603896096
"KNN, CharLevel Vectors: ",    0,0.78,0.89,0.69,144,0.21721410402096808
"KNN, CharLevel Vectors: ",    1,0.81,0.82,0.8,105,0.21721410402096808
"KNN, CharLevel Vectors: ",    2,0.68,0.78,0.6,222,0.21721410402096808
"KNN, CharLevel Vectors: ",    3,0.85,0.91,0.79,116,0.21721410402096808
"KNN, CharLevel Vectors: ",    4,0.74,0.85,0.65,117,0.21721410402096808
"KNN, CharLevel Vectors: ",    5,0.78,0.89,0.7,123,0.21721410402096808
"KNN, CharLevel Vectors: ",    6,0.57,0.49,0.68,68,0.21721410402096808
"KNN, CharLevel Vectors: ",    7,0.43,0.32,0.69,51,0.21721410402096808
"KNN, CharLevel Vectors: ",    8,0.56,0.49,0.66,150,0.21721410402096808
"KNN, CharLevel Vectors: ",    9,0.62,0.58,0.67,142,0.21721410402096808
"KNN, CharLevel Vectors: ",   10,0.66,0.67,0.65,196,0.21721410402096808
