class,f1_score,precision,recall,support,time_secs
    0,0.85,0.97,0.76,143,0.038303437002468854
    1,0.89,0.89,0.89,103,0.038303437002468854
    2,0.81,0.88,0.74,203,0.038303437002468854
    3,0.93,0.91,0.96,96,0.038303437002468854
    4,0.82,0.84,0.79,95,0.038303437002468854
    5,0.86,0.92,0.8,111,0.038303437002468854
    6,0.72,0.65,0.8,76,0.038303437002468854
    7,0.57,0.45,0.79,63,0.038303437002468854
    8,0.71,0.68,0.74,188,0.038303437002468854
    9,0.8,0.78,0.82,155,0.038303437002468854
   10,0.73,0.75,0.71,201,0.038303437002468854
    0,0.46,0.49,0.43,127,0.004703788028564304
    1,0.46,0.47,0.46,104,0.004703788028564304
    2,0.39,0.38,0.41,159,0.004703788028564304
    3,0.59,0.68,0.53,131,0.004703788028564304
    4,0.3,0.38,0.25,134,0.004703788028564304
    5,0.41,0.49,0.34,140,0.004703788028564304
    6,0.32,0.32,0.31,96,0.004703788028564304
    7,0.14,0.11,0.18,65,0.004703788028564304
    8,0.3,0.26,0.36,143,0.004703788028564304
    9,0.35,0.38,0.32,192,0.004703788028564304
   10,0.28,0.25,0.33,143,0.004703788028564304
    0,0.87,0.92,0.82,126,0.02366724202875048
    1,0.88,0.87,0.89,101,0.02366724202875048
    2,0.78,0.85,0.72,203,0.02366724202875048
    3,0.94,0.93,0.94,100,0.02366724202875048
    4,0.79,0.8,0.79,90,0.02366724202875048
    5,0.85,0.88,0.82,104,0.02366724202875048
    6,0.55,0.39,0.93,40,0.02366724202875048
    7,0.05,0.03,1.0,3,0.02366724202875048
    8,0.57,0.67,0.5,275,0.02366724202875048
    9,0.75,0.71,0.8,143,0.02366724202875048
   10,0.68,0.79,0.6,249,0.02366724202875048
    0,0.75,0.62,0.97,71,0.755681025038939
    1,0.91,0.85,0.97,91,0.755681025038939
    2,0.84,0.9,0.79,196,0.755681025038939
    3,0.89,0.83,0.95,88,0.755681025038939
    4,0.71,0.55,0.98,50,0.755681025038939
    5,0.84,0.76,0.94,79,0.755681025038939
    6,0.37,0.23,0.92,24,0.755681025038939
    7,0.0,0.0,0.0,0,0.755681025038939
    8,0.6,0.71,0.52,281,0.755681025038939
    9,0.69,0.58,0.85,111,0.755681025038939
   10,0.57,0.95,0.41,443,0.755681025038939
    0,0.75,0.62,0.97,71,0.7392253410071135
    1,0.91,0.85,0.97,91,0.7392253410071135
    2,0.84,0.9,0.79,196,0.7392253410071135
    3,0.89,0.83,0.95,88,0.7392253410071135
    4,0.71,0.55,0.98,50,0.7392253410071135
    5,0.84,0.76,0.94,79,0.7392253410071135
    6,0.37,0.23,0.92,24,0.7392253410071135
    7,0.0,0.0,0.0,0,0.7392253410071135
    8,0.6,0.71,0.52,281,0.7392253410071135
    9,0.69,0.58,0.85,111,0.7392253410071135
   10,0.57,0.95,0.41,443,0.7392253410071135
