Model_Vec,class,f1_score,precision,recall,support,time_secs
"SVM, Count Vectors:",    0,0.0,0.0,0.0,0,32.31276014703326
"SVM, Count Vectors:",    1,0.0,0.0,0.0,0,32.31276014703326
"SVM, Count Vectors:",    2,0.0,0.0,0.0,0,32.31276014703326
"SVM, Count Vectors:",    3,0.0,0.0,0.0,0,32.31276014703326
"SVM, Count Vectors:",    4,0.0,0.0,0.0,0,32.31276014703326
"SVM, Count Vectors:",    5,0.1,0.05,1.0,5,32.31276014703326
"SVM, Count Vectors:",    6,0.0,0.0,0.0,0,32.31276014703326
"SVM, Count Vectors:",    7,0.0,0.0,0.0,0,32.31276014703326
"SVM, Count Vectors:",    8,0.0,0.0,0.0,0,32.31276014703326
"SVM, Count Vectors:",    9,0.0,0.0,0.0,0,32.31276014703326
"SVM, Count Vectors:",   10,0.23,1.0,0.13,1429,32.31276014703326
"SVM, Count Vectors Char: ",    0,0.0,0.0,0.0,0,4.122933511971496
"SVM, Count Vectors Char: ",    1,0.02,0.01,1.0,1,4.122933511971496
"SVM, Count Vectors Char: ",    2,0.0,0.0,0.0,1,4.122933511971496
"SVM, Count Vectors Char: ",    3,0.02,0.01,1.0,1,4.122933511971496
"SVM, Count Vectors Char: ",    4,0.0,0.0,0.0,0,4.122933511971496
"SVM, Count Vectors Char: ",    5,0.0,0.0,0.0,0,4.122933511971496
"SVM, Count Vectors Char: ",    6,0.0,0.0,0.0,0,4.122933511971496
"SVM, Count Vectors Char: ",    7,0.0,0.0,0.0,0,4.122933511971496
"SVM, Count Vectors Char: ",    8,0.0,0.0,0.0,3,4.122933511971496
"SVM, Count Vectors Char: ",    9,0.0,0.0,0.0,0,4.122933511971496
"SVM, Count Vectors Char: ",   10,0.23,0.99,0.13,1428,4.122933511971496
"SVM, WordLevel TF-IDF: ",    0,0.0,0.0,0.0,0,31.057004157977644
"SVM, WordLevel TF-IDF: ",    1,0.0,0.0,0.0,0,31.057004157977644
"SVM, WordLevel TF-IDF: ",    2,0.0,0.0,0.0,0,31.057004157977644
"SVM, WordLevel TF-IDF: ",    3,0.0,0.0,0.0,0,31.057004157977644
"SVM, WordLevel TF-IDF: ",    4,0.0,0.0,0.0,0,31.057004157977644
"SVM, WordLevel TF-IDF: ",    5,0.0,0.0,0.0,0,31.057004157977644
"SVM, WordLevel TF-IDF: ",    6,0.0,0.0,0.0,0,31.057004157977644
"SVM, WordLevel TF-IDF: ",    7,0.0,0.0,0.0,0,31.057004157977644
"SVM, WordLevel TF-IDF: ",    8,0.0,0.0,0.0,0,31.057004157977644
"SVM, WordLevel TF-IDF: ",    9,0.0,0.0,0.0,0,31.057004157977644
"SVM, WordLevel TF-IDF: ",   10,0.23,1.0,0.13,1434,31.057004157977644
"SVM, N-Gram Vectors: ",    0,0.0,0.0,0.0,0,16.231056344986428
"SVM, N-Gram Vectors: ",    1,0.0,0.0,0.0,0,16.231056344986428
"SVM, N-Gram Vectors: ",    2,0.0,0.0,0.0,0,16.231056344986428
"SVM, N-Gram Vectors: ",    3,0.0,0.0,0.0,0,16.231056344986428
"SVM, N-Gram Vectors: ",    4,0.0,0.0,0.0,0,16.231056344986428
"SVM, N-Gram Vectors: ",    5,0.0,0.0,0.0,0,16.231056344986428
"SVM, N-Gram Vectors: ",    6,0.0,0.0,0.0,0,16.231056344986428
"SVM, N-Gram Vectors: ",    7,0.0,0.0,0.0,0,16.231056344986428
"SVM, N-Gram Vectors: ",    8,0.0,0.0,0.0,0,16.231056344986428
"SVM, N-Gram Vectors: ",    9,0.0,0.0,0.0,0,16.231056344986428
"SVM, N-Gram Vectors: ",   10,0.23,1.0,0.13,1434,16.231056344986428
"SVM, CharLevel Vectors: ",    0,0.0,0.0,0.0,0,16.173778490978293
"SVM, CharLevel Vectors: ",    1,0.0,0.0,0.0,0,16.173778490978293
"SVM, CharLevel Vectors: ",    2,0.0,0.0,0.0,0,16.173778490978293
"SVM, CharLevel Vectors: ",    3,0.0,0.0,0.0,0,16.173778490978293
"SVM, CharLevel Vectors: ",    4,0.0,0.0,0.0,0,16.173778490978293
"SVM, CharLevel Vectors: ",    5,0.0,0.0,0.0,0,16.173778490978293
"SVM, CharLevel Vectors: ",    6,0.0,0.0,0.0,0,16.173778490978293
"SVM, CharLevel Vectors: ",    7,0.0,0.0,0.0,0,16.173778490978293
"SVM, CharLevel Vectors: ",    8,0.0,0.0,0.0,0,16.173778490978293
"SVM, CharLevel Vectors: ",    9,0.0,0.0,0.0,0,16.173778490978293
"SVM, CharLevel Vectors: ",   10,0.23,1.0,0.13,1434,16.173778490978293
