class,f1_score,precision,recall,support,time_secs
    0,0.98,0.96,1.0,236,0.007856579999952373
    1,0.98,1.0,0.96,225,0.007856579999952373
    0,0.91,0.88,0.94,236,0.0026126519999252196
    1,0.9,0.93,0.87,225,0.0026126519999252196
    0,0.98,0.96,1.0,236,0.0047088909998365125
    1,0.98,1.0,0.96,225,0.0047088909998365125
    0,0.95,0.92,0.97,236,0.09477794100007486
    1,0.94,0.97,0.91,225,0.09477794100007486
    0,0.95,0.92,0.97,236,0.08525510200001918
    1,0.94,0.97,0.91,225,0.08525510200001918
