class,f1_score,precision,recall,support,time_secs
    0,0.96,0.98,0.94,227,0.015790862000358175
    1,0.96,0.94,0.98,234,0.015790862000358175
    0,0.86,0.78,0.94,227,0.0049033060004148865
    1,0.83,0.93,0.75,234,0.0049033060004148865
    0,0.96,0.99,0.93,227,0.009373023000080138
    1,0.96,0.94,0.99,234,0.009373023000080138
    0,0.96,0.94,0.98,227,0.09428597199985234
    1,0.96,0.98,0.94,234,0.09428597199985234
    0,0.96,0.94,0.98,227,0.10670646699963982
    1,0.96,0.98,0.94,234,0.10670646699963982
