Model_Vec,class,f1_score,precision,recall,support,time_secs
"SVM, Count Vectors:",    0,0.75,0.61,0.96,227,13.528683024999737
"SVM, Count Vectors:",    1,0.56,0.92,0.4,234,13.528683024999737
"SVM, Count Vectors Char: ",    0,0.8,0.67,1.0,227,3.661223815000085
"SVM, Count Vectors Char: ",    1,0.69,0.99,0.53,234,3.661223815000085
"SVM, WordLevel TF-IDF: ",    0,0.66,0.49,1.0,227,23.189656865999495
"SVM, WordLevel TF-IDF: ",    1,0.0,0.0,0.0,234,23.189656865999495
"SVM, N-Gram Vectors: ",    0,0.66,0.49,1.0,227,47.41804451400003
"SVM, N-Gram Vectors: ",    1,0.0,0.0,0.0,234,47.41804451400003
"SVM, CharLevel Vectors: ",    0,0.66,0.49,1.0,227,47.974842894000176
"SVM, CharLevel Vectors: ",    1,0.0,0.0,0.0,234,47.974842894000176
