class,f1_score,precision,recall,support,time_secs
    0,0.97,0.98,0.95,222,0.00900144699971861
    1,0.97,0.96,0.98,239,0.00900144699971861
    0,0.76,0.74,0.78,222,0.0037287859995558392
    1,0.77,0.79,0.75,239,0.0037287859995558392
    0,0.97,0.99,0.95,222,0.006366076000631438
    1,0.97,0.95,0.99,239,0.006366076000631438
    0,0.97,0.99,0.96,222,0.06082986000001256
    1,0.98,0.96,0.99,239,0.06082986000001256
    0,0.97,0.99,0.96,222,0.06053246900046361
    1,0.98,0.96,0.99,239,0.06053246900046361
