Model_Vec,class,f1_score,precision,recall,support,time_secs
"SVM, Count Vectors:",    0,1.0,1.0,1.0,1502,0.8416635440007667
"SVM, Count Vectors:",    1,1.0,1.0,1.0,1561,0.8416635440007667
"SVM, Count Vectors Char: ",    0,1.0,1.0,1.0,1502,0.3846592350018909
"SVM, Count Vectors Char: ",    1,1.0,1.0,1.0,1561,0.3846592350018909
"SVM, WordLevel TF-IDF: ",    0,1.0,1.0,0.99,1512,1.1033666399962385
"SVM, WordLevel TF-IDF: ",    1,1.0,0.99,1.0,1551,1.1033666399962385
"SVM, N-Gram Vectors: ",    0,1.0,1.0,0.99,1512,1.086588728998322
"SVM, N-Gram Vectors: ",    1,1.0,0.99,1.0,1551,1.086588728998322
"SVM, CharLevel Vectors: ",    0,0.66,1.0,0.49,3063,102.59396427400497
"SVM, CharLevel Vectors: ",    1,0.0,0.0,0.0,0,102.59396427400497
