Model_Vec,class,f1_score,precision,recall,support
"KNN, Count Vectors:",    0,0.95,1.0,0.91,1200
"KNN, Count Vectors:",    1,0.29,0.17,1.0,23
"KNN, Count Vectors Char: ",    0,0.98,1.0,0.96,1131
"KNN, Count Vectors Char: ",    1,0.79,0.66,0.97,92
"KNN, WordLevel TF-IDF: ",    0,0.99,1.0,0.97,1121
"KNN, WordLevel TF-IDF: ",    1,0.86,0.76,1.0,102
"KNN, N-Gram Vectors: ",    0,0.94,1.0,0.89,1218
"KNN, N-Gram Vectors: ",    1,0.07,0.04,1.0,5
"KNN, CharLevel Vectors: ",    0,0.94,1.0,0.89,1218
"KNN, CharLevel Vectors: ",    1,0.07,0.04,1.0,5
