Model_Vec,class,f1_score,precision,recall,support
"SVM, Count Vectors:",    0,0.94,1.0,0.89,1223
"SVM, Count Vectors:",    1,0.0,0.0,0.0,0
"SVM, Count Vectors Char: ",    0,0.98,1.0,0.97,1124
"SVM, Count Vectors Char: ",    1,0.84,0.73,0.99,99
"SVM, WordLevel TF-IDF: ",    0,0.94,1.0,0.89,1223
"SVM, WordLevel TF-IDF: ",    1,0.0,0.0,0.0,0
"SVM, N-Gram Vectors: ",    0,0.94,1.0,0.89,1223
"SVM, N-Gram Vectors: ",    1,0.0,0.0,0.0,0
"SVM, CharLevel Vectors: ",    0,0.94,1.0,0.89,1223
"SVM, CharLevel Vectors: ",    1,0.0,0.0,0.0,0
